,role_or_degree,role_code
14162,litigation lawyer,6147
14164,head of service quality department,4244
14165,head of service quality department and consumer assistance officer,4245
14166,avp service quality and delivery,1099
14167,avp customer care head,1086
14168,avp personal and business banking relationship centre,1096
14169,avp personal telephone banking,1097
14170,avp commercial banking relationship centre,1084
14171,manager customer sales outbound,6327
14172,assistant manager cardholder services inbound,672
14173,unit teller,12012
14174,properties & equipment accountant,8071
14175,supplier & services associate,10972
14176,loans accountant & petty cash custodian,6154
14177,talent acquisition officer - am,11205
14178,talent acquisition partner / team lead - rank & file hiring,11208
14179,talent acquisition partner-jam,11209
14180,recruitment & placement specialist,8357
14184,hr officer ,4628
14188,technical recruitment supervisor,11521
14190,recruitment specialist (profiling to onboarding),8482
14191,recruitment associate (new hire onboarding),8407
14192,member services officer iii,6638
14194,planning officer - first officer,7361
14195,planning officer - analyst,7360
14198,credit evaluator,2398
14199,documentation assistant,3125
14201,enterprise architect,3328
14202,customer experience architect,2500
14203,digital banking technology officer,2979
14204,"center head, digital platforms and product development",1651
14205,head of globe labs,4190
14209,vice president - operational risk management head,12103
14210,country head - global standards retail banking and wealth management,2319
14216,product officer,7729
14219,special events and logistics manager,10558
14220,"intern, cbg/cms/studio & creatives",5325
14222,manager - cash management sales officer,6289
14224,business development support officer,1383
14225,sales manager for eco system,8922
14226,auto loans portfolio officer,1054
14228,business development sales officer,1381
14233,events associate (intern),3396
14237,dealer coordinator ,2833
14238,"relationship manager, corporate banking group - large corporates division",8619
14239,leap management trainee,6055
14240,"intern, aruga serviced apartments",5324
14242,head of benefits management department,4163
14244,"assistant manager human resources at white & case global operations center (manila), llp",683
14245,"employee services supervisor at white & case global operations center manila, llp",3257
14246,assistant manager human resources at ict group,682
14249,"assistant manager, pd recruitment",696
14251,recruitment assistant & sourcing team lead,8401
14255,senior assistant manager - campaign operations officer,9285
14256,test specialist,11765
14265,product delivery associate,7682
14266,on-the-job trainee (programmer),6924
14267,data lifter,2767
14271,channel officer,1702
14273,telemarketer,11709
14275,second vice president,9164
14279,business analyst iii,1322
14281,"(oic) head, markets research and strategy",13
14282,research officer,8702
14283,"officer, strategic planning - investor relations",6888
14285,"summer intern, finance and risk operations - strategy & execution",10927
14286,corporate affairs officer,2211
14287,fashion stylist,3533
14288,stakeholder relations manager ,10828
14289,content and editorial officer,2117
14290,marketing and pr officer,6470
14292,intern for corporate pr,5315
14293,social media intern,10346
14294,"head, employee services division",4279
14295,"senior manager & head, employee records & plantilla management",9631
14297,human resources director for information systems & talent acquisition,4966
14298,human resource consultant,4888
14299,hr services supervisor,4752
14300,payroll & benefits consultant,7233
14301,human resources senior specialist for benefits and compensation,5013
14302,personnel assistant ii for compensation and benefits,7297
14309,trust lawyer and corporate counsel,11975
14310,"head, customer insights department",4275
14311,department head qualitative research strategy & innovation,2884
14312,market & competitive intelligence officer ,6429
14313,senior research officer,9883
14316,branch marketing representative,1222
14317,field interviewer,3557
14318,strategic support associate,10866
14320,cash services support specialist,1612
14321,event assistant,3381
14322,sales consultant,8894
14324,regional branch operations officer,8517
14327,product manager - prepaid and payments,7714
14328,trade business manager - south luzon,11822
14329,prepaid cards distribution officer - distributors and key accounts,7448
14330,direct sales channel manager - south luzon,3022
14332,capability building leader,1558
14333,area business head,546
14335,vice chairman of the board,12089
14336,"member, board of directors",6640
14337,"member, board of advisors",6639
14339,past board member,7223
14341,junior assistant manager|programmer analyst,5775
14342,game developer,3863
14345,sr. recruitment officer,10758
14348,talent acquisition specialist ,11218
14355,portfolio trader,7414
14364,senior business analyst (manager),9347
14367,"senior software engineer / senior software consultant (business analyst senior for citibank, n.a.)",9931
14368,"software consultant (business analyst for client citibank, n.a.)",10363
14369,business analyst 2 (assistant manager),1314
14370,senior associate (etl business analyst) & operations officer,9293
14371,business systems analyst / systems officer (junior assistant manager),1482
14372,part time customer care representative (pt-ccr),7187
14378,maketing assistant,6240
14383,senior asst. manager,9317
14384,implementation officer,5072
14386,professional services consultant,7818
14387,it risk and assurance senior associate,5572
14388,"region head, fvp",8507
14389,deputy region head -first vice president,2927
14390,area head - first vice president,552
14391,area head - vice president,554
14392,vp capability building leader,12185
14393,region sales head,8508
14394,sales head cash management,8910
14395,deputy head vp cbg multinational division,2916
14396,account officer japan desk- avp,106
14398,"accounting staff, branch operations officer and relationship manager",187
14399,financial planning officer,3664
14400,finance executive,3601
14401,budget planning analyst,1300
14402,sales & service engineer,8852
14403,reseach assistant,8665
14404,assistant production supervisor,721
14408,treasury operations assistant,11956
